Date,Month,Year,Year-Month,Invoice #,Farm,Specific Product,General Product,Unit,Packaging,Weight (lbs),Count,Quantity,Price per unit,Total Pounds,Total Cost,Notes,,,,,
9/3/2014,9,2014,2014-9,1493,Allison Family Farms,Muscadine Grapes,Grapes,lb,box,1,1,189,1,189,189,FFVP,,,,,
10/3/2014,10,2014,2014-10,103,Jonesville Persimmons,Persimons,Persimmons,lb,crate,1,1,251,1,251,251,FFVP,,,,,
11/14/2014,11,2014,2014-11,1,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,49.25,0.64,49.25,31.52,,,,,,
12/1/2014,12,2014,2014-12,2,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,30.68,0.64,30.68,19.6352,,,,,,
12/1/2014,12,2014,2014-12,2,Loften Greenhouse,Sweet banana peppers,Peppers,lb,greenhouse,1,1,10.17,0.56,10.17,5.6952,,,,,,
12/3/2014,12,2014,2014-12,345,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,24,2,26.5,48,53,,,,,,
12/3/2014,12,2014,2014-12,345,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
12/4/2014,12,2014,2014-12,3,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,66.7,0.64,66.7,42.688,,,,,,
12/10/2014,12,2014,2014-12,4,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,45.7,0.64,45.7,29.248,,,,,,
12/15/2014,12,2014,2014-12,5,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,25,0.64,25,16,,,,,,
12/30/2014,12,2014,2014-12,6,Loften Greenhouse,Sweet banana peppers,Peppers,lb,Greenhouse,1,1,1,0.56,1,0.56,,,,,,
1/5/2015,1,2015,2015-1,7,Loften Greenhouse,Sweet banana peppers,Peppers,lb,Greenhouse,1,1,12,0.56,12,6.72,,,,,,
1/7/2015,1,2015,2015-1,8,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,25,0.64,25,16,,,,,,
1/7/2015,1,2015,2015-1,9,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,10,0.64,10,6.4,,,,,,
1/7/2015,1,2015,2015-1,,The Family Garden,Organic Mixed,Lettuce,lb,Crate,1,24,16,26.5,384,424,,,,,,
1/23/2015,1,2015,2015-1,10,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,55,0.64,55,35.2,,,,,,
2/2/2015,2,2015,2015-2,12,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,44,0.64,44,28.16,,,,,,
2/6/2015,2,2015,2015-2,13,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,50,0.64,50,32,,,,,,
2/11/2015,2,2015,2015-2,2490,Frog Song Organics,Organic Sweet Potatoes Fingerling,Sweet potatoes,lb,Crate,40,1,1,45,40,45,,,,,,
2/12/2015,2,2015,2015-2,14,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,65,0.64,65,41.6,,,,,,
2/18/2015,2,2015,2015-2,,The Family Garden,organic orange carrots bunched,Carrots,lb,Crate,1,24,1.5,38.5,36,57.75,,,,,,
2/18/2015,2,2015,2015-2,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,20,26.5,480,530,,,,,,
2/19/2015,2,2015,2015-2,15,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,65,0.64,65,41.6,,,,,,
2/24/2015,2,2015,2015-2,,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,12,20,13.25,240,265,,,,,,
2/24/2015,2,2015,2015-2,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,12,20,13.25,240,265,,,,,,
2/26/2015,2,2015,2015-2,16,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,70,0.64,70,44.8,,Sweet banana peppers = 26.17 lbs @ .56 = 14.6552,,,,
3/3/2015,3,2015,2015-3,,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,12,20,13.25,240,265,,,,,,
3/3/2015,3,2015,2015-3,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,12,20,13.25,240,265,,,,,,
3/5/2015,3,2015,2015-3,17,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,61,0.64,61,39.04,,,,,,
3/8/2015,3,2015,2015-3,,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,12,20,13.25,240,265,,,,,,
3/8/2015,3,2015,2015-3,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,12,20,13.25,240,265,,,,,,
3/27/2015,3,2015,2015-3,,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
3/27/2015,3,2015,2015-3,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,75
3/31/2015,3,2015,2015-3,,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
3/31/2015,3,2015,2015-3,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/7/2015,4,2015,2015-4,,Frog Song Organics,Strawberries,Strawberries,lb,Box,30,1,6,35,180,210,,,,,,
4/8/2015,4,2015,2015-4,,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/8/2015,4,2015,2015-4,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/14/2015,4,2015,2015-4,,Frog Song Organics,Strawberries,Strawberries,lb,Box,30,1,2,35,60,70,,,,,,
4/15/2015,4,2015,2015-4,,The Family Garden,Organic Red Leaf Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/15/2015,4,2015,2015-4,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/18/2015,4,2015,2015-4,0,Henderson and Daughter,Valencia Oranges,Oranges,each,Bag,1,1,32,0.5,4,16,to Irby 4/20,,,,,
4/22/2015,4,2015,2015-4,,The Family Garden,Organic Leaf Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/22/2015,4,2015,2015-4,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/24/2015,4,2015,2015-4,24,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,1,1,13,1,13,13,,,,,,
4/30/2015,4,2015,2015-4,30,Loften Greenhouse,Sweet banana peppers,Peppers,lb,Greenhouse,1,1,2,0.56,2,1.12,,,,,,
5/6/2015,5,2015,2015-5,33,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,1,1,67,1,67,67,,,,,,
5/6/2015,5,2015,2015-5,31,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,29,0.64,29,18.56,,,,,,
