"","date","item","number","uom","qty","price","state","florida"
"1",2015-06-18,"APPLES GALA 88 CT","1160","CS",1,25.2,"WASHINGTON","Non-Florida"
"2",2015-06-01,"APPLES GOLD DEL 125/138 XF","1173","CS",4,84.28,"WASHINGTON","Non-Florida"
"3",2015-06-02,"APPLES GOLD DEL 125/138 XF","1173","CS",6,126.42,"WASHINGTON","Non-Florida"
"4",2015-06-09,"APPLES GOLD DEL 125/138 XF","1173","CS",1,21.2,"WASHINGTON","Non-Florida"
"5",2015-06-16,"APPLES GOLD DEL 125/138 XF","1173","CS",3,63.6,"WASHINGTON","Non-Florida"
"6",2015-06-23,"APPLES GOLD DEL 125/138 XF","1173","CS",7,148.4,"WASHINGTON","Non-Florida"
"7",2015-06-30,"APPLES GOLD DEL 125/138 XF","1173","CS",4,84.8,"WASHINGTON","Non-Florida"
"8",2015-06-02,"APPLES GRANNY SMITH 125","1215","CS",4,117.68,"WASHINGTON","Non-Florida"
"9",2015-06-08,"APPLES GRANNY SMITH 125","1215","CS",3,88.26,"WASHINGTON","Non-Florida"
"10",2015-06-09,"APPLES GRANNY SMITH 125","1215","CS",-2,-58.84,"WASHINGTON","Non-Florida"
"11",2015-06-16,"APPLES GRANNY SMITH 125","1215","CS",1,29.42,"WASHINGTON","Non-Florida"
"12",2015-06-23,"APPLES GRANNY SMITH 125","1215","CS",5,147.1,"WASHINGTON","Non-Florida"
"13",2015-06-01,"APPLES RED 113-138","1372","CS",3,70.2,"WASHINGTON","Non-Florida"
"14",2015-06-02,"APPLES RED 113-138","1372","CS",14,327.6,"WASHINGTON","Non-Florida"
"15",2015-06-04,"APPLES RED 113-138","1372","CS",2,46.8,"WASHINGTON","Non-Florida"
"16",2015-06-09,"APPLES RED 113-138","1372","CS",5,117,"WASHINGTON","Non-Florida"
"17",2015-06-23,"APPLES RED 113-138","1372","CS",7,163.8,"WASHINGTON","Non-Florida"
"18",2015-06-30,"APPLES RED 113-138","1372","CS",7,163.8,"WASHINGTON","Non-Florida"
"19",2015-06-02,"APPLES RED DEL 125 XF","1390","CS",2,44.36,"WASHINGTON","Non-Florida"
"20",2015-06-16,"APPLES RED DEL 125 XF","1390","CS",1,21.65,"MICHIGAN","Non-Florida"
"21",2015-06-23,"APPLES RED DEL 125 XF","1390","CS",1,21.8,"MICHIGAN","Non-Florida"
"22",2015-06-30,"APPLES RED DEL 125 XF","1390","CS",1,21.65,"MICHIGAN","Non-Florida"
"23",2015-06-01,"BANANAS IP 150 CT","1502","CS",9,188.55,"HONDURAS","Non-Florida"
"24",2015-06-02,"BANANAS IP 150 CT","1502","CS",5,104.75,"HONDURAS","Non-Florida"
"25",2015-06-08,"BANANAS IP 150 CT","1502","CS",3,62.85,"HONDURAS","Non-Florida"
"26",2015-06-09,"BANANAS IP 150 CT","1502","CS",-3,-62.85,"HONDURAS","Non-Florida"
"27",2015-06-16,"BANANAS IP 150 CT","1502","CS",9,188.55,"HONDURAS","Non-Florida"
"28",2015-06-23,"BANANAS IP 150 CT","1502","CS",5,104.75,"HONDURAS","Non-Florida"
"29",2015-06-25,"BANANAS IP 150 CT","1502","CS",2,41.9,"HONDURAS","Non-Florida"
"30",2015-06-30,"BANANAS IP 150 CT","1502","CS",7,146.65,"HONDURAS","Non-Florida"
"31",2015-06-11,"BANANAS No 1 PREMIUM 40 LB GT","1505","CS",1,20.95,"HONDURAS","Non-Florida"
"32",2015-06-16,"BANANAS No 1 PREMIUM 40 LB GT","1505","CS",1,20.95,"HONDURAS","Non-Florida"
"33",2015-06-18,"BANANAS No 1 PREMIUM 40 LB GT","1505","CS",1,20.95,"HONDURAS","Non-Florida"
"34",2015-06-23,"BANANAS No 1 PREMIUM 40 LB GT","1505","CS",1,20.95,"HONDURAS","Non-Florida"
"35",2015-06-30,"BANANAS No 1 PREMIUM 40 LB GT","1505","CS",2,41.9,"HONDURAS","Non-Florida"
"36",2015-06-11,"BERRIES RASP 12/6 OZ","1560","CS",2,52.52,"CALIFORNIA","Non-Florida"
"37",2015-06-23,"BERRIES RASP 12/6 OZ","1560","CS",1,23.17,"CALIFORNIA","Non-Florida"
"38",2015-06-30,"BERRIES RASP 12/6 OZ","1560","CS",1,22.13,"CALIFORNIA","Non-Florida"
"39",2015-06-02,"BERRIES STRAW DRISCOLL 8/1 LB","1570","CS",2,40.9,"CALIFORNIA","Non-Florida"
"40",2015-06-11,"BERRIES STRAW DRISCOLL 8/1 LB","1570","CS",2,47.12,"CALIFORNIA","Non-Florida"
"41",2015-06-25,"BERRIES STRAW DRISCOLL 8/1 LB","1570","CS",2,35.14,"CALIFORNIA","Non-Florida"
"42",2015-06-30,"BERRIES STRAW DRISCOLL 8/1 LB","1570","CS",2,35.16,"CALIFORNIA","Non-Florida"
"43",2015-06-02,"BROCCOLI FLORETS---4/3 LB---","2506","CS",6,155.28,"CALIFORNIA","Non-Florida"
"44",2015-06-04,"BROCCOLI FLORETS---4/3 LB---","2506","CS",1,25.88,"CALIFORNIA","Non-Florida"
"45",2015-06-09,"BROCCOLI FLORETS---4/3 LB---","2506","CS",1,19.83,"CALIFORNIA","Non-Florida"
"46",2015-06-16,"BROCCOLI FLORETS---4/3 LB---","2506","CS",7,155.45,"CALIFORNIA","Non-Florida"
"47",2015-06-23,"BROCCOLI FLORETS---4/3 LB---","2506","CS",1,20.48,"CALIFORNIA","Non-Florida"
"48",2015-06-30,"BROCCOLI FLORETS---4/3 LB---","2506","CS",9,182.7,"CALIFORNIA","Non-Florida"
"49",2015-06-30,"BROCCOLI FLORETS---4/3 LB---","2506","EA",2,14.66,"CALIFORNIA","Non-Florida"
"50",2015-06-02,"CABBAGE GREEN CTN 16-18 CT","2530","EACH",4,13.4,"CALIFORNIA","Non-Florida"
"51",2015-06-02,"CANTALOUPE 12 CT","1800","CS",1,16.26,"CALIFORNIA","Non-Florida"
"52",2015-06-02,"CARROT STICKS 4/5 LB","6060","CS",1,25.65,"CALIFORNIA","Non-Florida"
"53",2015-06-16,"CARROT STICKS 4/5 LB","6060","CS",2,63.24,"CALIFORNIA","Non-Florida"
"54",2015-06-23,"CARROT STICKS 4/5 LB","6060","CS",4,119.2,"CALIFORNIA","Non-Florida"
"55",2015-06-30,"CARROT STICKS 4/5 LB","6060","CS",1,26.45,"CALIFORNIA","Non-Florida"
"56",2015-06-30,"CARROT STICKS 4/5 LB","6060","EA",1,8.86,"CALIFORNIA","Non-Florida"
"57",2015-06-01,"CARROTS 100/2 OZ","6085","CS",3,58.65,"CALIFORNIA","Non-Florida"
"58",2015-06-02,"CARROTS 100/2 OZ","6085","CS",3,58.65,"CALIFORNIA","Non-Florida"
"59",2015-06-08,"CARROTS 100/2 OZ","6085","CS",1,18.96,"CALIFORNIA","Non-Florida"
"60",2015-06-09,"CARROTS 100/2 OZ","6085","CS",-1,-18.96,"CALIFORNIA","Non-Florida"
"61",2015-06-23,"CARROTS 100/2 OZ","6085","CS",10,197.5,"CALIFORNIA","Non-Florida"
"62",2015-06-30,"CARROTS 100/2 OZ","6085","CS",4,77.68,"CALIFORNIA","Non-Florida"
"63",2015-06-01,"CARROTS BABY PEELED 30/1 LB","2570","CS",2,49.78,"CALIFORNIA","Non-Florida"
"64",2015-06-02,"CARROTS BABY PEELED 30/1 LB","2570","CS",5,124.45,"CALIFORNIA","Non-Florida"
"65",2015-06-04,"CARROTS BABY PEELED 30/1 LB","2570","CS",2,49.78,"CALIFORNIA","Non-Florida"
"66",2015-06-09,"CARROTS BABY PEELED 30/1 LB","2570","CS",2,48.3,"CALIFORNIA","Non-Florida"
"67",2015-06-16,"CARROTS BABY PEELED 30/1 LB","2570","CS",3,72.45,"CALIFORNIA","Non-Florida"
"68",2015-06-18,"CARROTS BABY PEELED 30/1 LB","2570","CS",1,23.36,"CALIFORNIA","Non-Florida"
"69",2015-06-23,"CARROTS BABY PEELED 30/1 LB","2570","CS",3,72.72,"CALIFORNIA","Non-Florida"
"70",2015-06-30,"CARROTS BABY PEELED 30/1 LB","2570","CS",1,24.72,"CALIFORNIA","Non-Florida"
"71",2015-06-02,"CELERY SLEEVED 30/36 CT","2660","EACH",4,13.64,"CALIFORNIA","Non-Florida"
"72",2015-06-09,"CELERY SLEEVED 30/36 CT","2660","EACH",2,6.68,"CALIFORNIA","Non-Florida"
"73",2015-06-16,"CELERY SLEEVED 30/36 CT","2660","EACH",6,19.14,"CALIFORNIA","Non-Florida"
"74",2015-06-18,"CELERY SLEEVED 30/36 CT","2660","EACH",6,19.14,"CALIFORNIA","Non-Florida"
"75",2015-06-02,"CELERY STICKS 4/5 LB","6110","CS",4,133,"CALIFORNIA","Non-Florida"
"76",2015-06-09,"CELERY STICKS 4/5 LB","6110","CS",4,133,"CALIFORNIA","Non-Florida"
"77",2015-06-16,"CELERY STICKS 4/5 LB","6110","CS",4,125.71,"CALIFORNIA","Non-Florida"
