Item Description,Item #,Inv Date,UOM ,Qty ,Sum of extprice,
APPLES GALA 88 CT,1160,20-Aug-15,CS,2,$74.00,NJ
APPLES GALA 88 CT Total,,,,2,$74.00,
APPLES GOLD DEL 125/138 XF,1173,20-Aug-15,CS,35,$943.25,WA
,,31-Aug-15,CS,4,$112.80,WA
,,27-Aug-15,CS,13,$314.47,WA
,,21-Aug-15,CS,-1,-$26.95,WA
,,25-Aug-15,CS,8,$193.52,WA
,,17-Aug-15,CS,1,$26.95,WA
APPLES GOLD DEL 125/138 XF Total,,,,60,"$1,564.04",
APPLES GRANNY SMITH 125,1215,20-Aug-15,CS,36,"$1,087.56",WA
,,31-Aug-15,CS,7,$213.29,WA
,,27-Aug-15,CS,3,$90.54,WA
,,25-Aug-15,CS,3,$90.54,WA
,,26-Aug-15,CS,3,$90.54,WA
,,17-Aug-15,CS,1,$30.21,WA
APPLES GRANNY SMITH 125 Total,,,,53,"$1,602.68",
APPLES RED 113-138,1372,20-Aug-15,6CT,3,$10.65,WA
,,20-Aug-15,CS,59,"$1,531.05",WA
,,31-Aug-15,CS,4,$109.80,WA
,,27-Aug-15,CS,15,$331.65,WA
,,25-Aug-15,CS,11,$243.21,WA
,,04-Aug-15,CS,2,$46.80,WA
,,17-Aug-15,CS,1,$25.95,WA
APPLES RED 113-138 Total,,,,95,"$2,299.11",
APPLES RED DEL 125 XF,1390,20-Aug-15,CS,2,$48.42,WA
,,31-Aug-15,CS,2,$45.90,WA
,,27-Aug-15,CS,7,$168.91,WA
,,21-Aug-15,CS,4,$96.84,WA
,,25-Aug-15,CS,13,$313.69,WA
APPLES RED DEL 125 XF Total,,,,28,$673.76,
BANANAS IP 150 CT,1502,20-Aug-15,CS,22,$460.90,HONDURAS
,,31-Aug-15,CS,10,$209.50,HONDURAS
,,27-Aug-15,CS,15,$314.25,HONDURAS
,,21-Aug-15,CS,4,$83.80,HONDURAS
,,25-Aug-15,CS,16,$335.20,HONDURAS
,,04-Aug-15,CS,4,$83.80,HONDURAS
,,17-Aug-15,CS,1,$20.95,HONDURAS
BANANAS IP 150 CT Total,,,,72,"$1,508.40",
BANANAS No 1 PREMIUM 40 LB GT,1505,04-Aug-15,CS,1,$20.95,HONDURAS
BANANAS No 1 PREMIUM 40 LB GT Total,,,,1,$20.95,
BERRIES STRAW DRISCOLL 8/1 LB,1570,25-Aug-15,CS,1,$21.89,CA
BERRIES STRAW DRISCOLL 8/1 LB Total,,,,1,$21.89,
BROCCOLI FLORETS---4/3 LB---,2506,20-Aug-15,CS,6,$120.00,CA
,,20-Aug-15,EA,16,$116.00,CA
,,31-Aug-15,EA,3,$27.66,CA
,,27-Aug-15,CS,2,$51.76,CA
,,27-Aug-15,EA,6,$52.32,CA
,,25-Aug-15,CS,2,$51.76,CA
,,04-Aug-15,CS,1,$25.88,CA
,,17-Aug-15,EA,1,$7.25,CA
BROCCOLI FLORETS---4/3 LB--- Total,,,,37,$452.63,
CABBAGE GREEN CTN 16-18 CT,2530,20-Aug-15,CS,2,$33.64,NC
,,31-Aug-15,CS,1,$18.45,NC
,,27-Aug-15,CS,1,$17.95,NC
,,27-Aug-15,EACH,8,$30.00,NC
,,25-Aug-15,CS,2,$35.90,NC
CABBAGE GREEN CTN 16-18 CT Total,,,,14,$135.94,
CABBAGE GRN SHRED 4/5  W/C,6040,20-Aug-15,EACH,5,$31.15,CA
CABBAGE GRN SHRED 4/5  W/C Total,,,,5,$31.15,
CANTALOUPE 12 CT,1800,25-Aug-15,CS,1,$20.80,CA
CANTALOUPE 12 CT Total,,,,1,$20.80,
CARROT STICKS 4/5 LB,6060,20-Aug-15,EA,1,$8.97,CA
CARROT STICKS 4/5 LB Total,,,,1,$8.97,
CARROTS 100/2 OZ,6085,20-Aug-15,CS,12,$238.56,CA
,,31-Aug-15,CS,1,$19.90,CA
,,27-Aug-15,CS,4,$79.64,CA
,,25-Aug-15,CS,2,$39.82,CA
,,04-Aug-15,CS,2,$37.80,CA
CARROTS 100/2 OZ Total,,,,21,$415.72,
CARROTS BABY PEELED 30/1 LB,2570,20-Aug-15,CS,7,$176.54,CA
,,20-Aug-15,EACH,15,$47.25,CA
,,31-Aug-15,CS,2,$60.98,CA
,,27-Aug-15,CS,2,$50.68,CA
,,27-Aug-15,EACH,6,$18.96,CA
,,21-Aug-15,CS,4,$100.88,CA
,,25-Aug-15,CS,2,$50.68,CA
,,04-Aug-15,CS,1,$28.80,CA
CARROTS BABY PEELED 30/1 LB Total,,,,39,$534.77,
CARROTS MATCHSTICK SHRED 4/5 LB,6080,20-Aug-15,EACH,11,$73.04,CA
,,17-Aug-15,EACH,1,$6.64,CA
CARROTS MATCHSTICK SHRED 4/5 LB Total,,,,12,$79.68,
CELERY SLEEVED 30/36 CT,2660,20-Aug-15,EACH,1,$3.38,CA
,,25-Aug-15,CS,1,$31.45,CA
CELERY SLEEVED 30/36 CT Total,,,,2,$34.83,
CELERY STICKS 4/5 LB,6110,20-Aug-15,CS,2,$52.12,CA
,,21-Aug-15,CS,4,$104.24,CA
,,04-Aug-15,CS,1,$27.12,CA
CELERY STICKS 4/5 LB Total,,,,7,$183.48,
CILANTRO 30 CT USA,5240,20-Aug-15,3 EA,5,$35.70,CA
,,27-Aug-15,3 EA,5,$18.30,CA
CILANTRO 30 CT USA Total,,,,10,$54.00,
CUCUMBER HOT HOUSE 12 CT,2690,20-Aug-15,3 EA,2,$11.74,CANADA
,,20-Aug-15,CS,8,$101.28,CANADA
,,31-Aug-15,CS,3,$38.10,CANADA
,,27-Aug-15,CS,2,$23.48,CANADA
,,25-Aug-15,CS,3,$35.22,CANADA
CUCUMBER HOT HOUSE 12 CT Total,,,,18,$209.82,
CUCUMBER SELECT 1-1/9 BU,2710,20-Aug-15,3 #,24,$78.00,NJ
,,20-Aug-15,CS,2,$33.90,NJ
,,31-Aug-15,CS,1,$18.75,CA
,,27-Aug-15,3 #,5,$17.20,CA
,,21-Aug-15,3 #,3,$9.75,NJ
,,25-Aug-15,3 #,5,$17.20,FL
CUCUMBER SELECT 1-1/9 BU Total,,,,40,$174.80,
EGGS LARGE 15 DZ USA,7910,20-Aug-15,CS,25,"$1,131.25",FL
,,31-Aug-15,CS,1,$43.00,FL
,,27-Aug-15,CS,4,$181.00,FL
,,21-Aug-15,CS,1,$45.25,FL
,,25-Aug-15,CS,1,$45.25,FL
,,17-Aug-15,CS,1,$45.25,FL
EGGS LARGE 15 DZ USA Total,,,,33,"$1,491.00",
EGGS LARGE 30 DZ USA,7920,20-Aug-15,CS,1,$87.55,FL
EGGS LARGE 30 DZ USA Total,,,,1,$87.55,
GRAPES GREEN SEEDLESS,1760,20-Aug-15,CS,3,$77.07,CA
,,31-Aug-15,CS,1,$28.43,CA
,,25-Aug-15,CS,4,$87.72,CA
GRAPES GREEN SEEDLESS Total,,,,8,$193.22,
HONEYDEW 5/6 CT,1820,20-Aug-15,EACH,12,$76.80,CA
HONEYDEW 5/6 CT Total,,,,12,$76.80,
KALE GREEN 24 CT USA,2140,20-Aug-15,6 EA,1,$6.24,SC
,,20-Aug-15,CS,22,$306.90,SC
,,20-Aug-15,EA,37,$109.15,SC
,,31-Aug-15,CS,3,$67.35,SC
,,31-Aug-15,EA,8,$26.96,SC
,,27-Aug-15,CS,4,$111.80,SC
,,27-Aug-15,EA,5,$18.25,SC
,,21-Aug-15,CS,0,$0.00,SC
,,25-Aug-15,CS,6,$167.70,SC
,,25-Aug-15,EA,4,$14.60,SC
KALE GREEN 24 CT USA Total,,,,90,$828.95,
LEMONS 165 CT,1640,20-Aug-15,CS,1,$34.78,CA
,,20-Aug-15,DOZ,5,$24.65,CA
,,31-Aug-15,DOZ,1,$4.89,CA
,,27-Aug-15,DOZ,4,$19.72,CA
,,25-Aug-15,DOZ,1,$4.93,CA
,,17-Aug-15,DOZ,1,$4.93,CA
LEMONS 165 CT Total,,,,13,$93.90,
"LETTUCE 1/8"" SHRED 4/5 LB",6180,20-Aug-15,CS,8,$127.28,CA
,,20-Aug-15,EACH,9,$56.07,CA
,,31-Aug-15,CS,2,$43.18,CA
,,31-Aug-15,EACH,1,$7.65,CA
,,27-Aug-15,CS,4,$86.36,CA
,,27-Aug-15,EACH,2,$15.30,CA
,,21-Aug-15,CS,2,$31.82,CA
,,25-Aug-15,CS,6,$129.54,CA
,,25-Aug-15,EACH,1,$7.65,CA
,,04-Aug-15,CS,1,$19.59,CA
,,04-Aug-15,EACH,2,$14.30,CA
"LETTUCE 1/8"" SHRED 4/5 LB Total",,,,38,$538.74,
LETTUCE SWEET SPRING MIX 3/1 LB,2220,20-Aug-15,CS,1,$9.51,CA
,,27-Aug-15,CS,3,$31.59,CA
LETTUCE SWEET SPRING MIX 3/1 LB Total,,,,4,$41.10,
ONIONS RED JUMBO 25 LB,4810,20-Aug-15,5 #,3,$20.58,CA
,,20-Aug-15,CS,1,$18.45,CA
,,31-Aug-15,5 #,1,$6.93,CA
,,31-Aug-15,CS,1,$18.73,CA
,,27-Aug-15,5 #,1,$6.93,CA
,,25-Aug-15,5 #,2,$13.86,CA
ONIONS RED JUMBO 25 LB Total,,,,9,$85.48,
ONIONS YELLOW JUMBO ROUND 50 LB,4850,20-Aug-15,5 #,18,$84.24,CA
,,20-Aug-15,CS,1,$21.88,CA
,,31-Aug-15,5 #,1,$4.37,CA
,,27-Aug-15,5 #,3,$13.65,CA
,,21-Aug-15,5 #,1,$4.68,CA
,,25-Aug-15,5 #,4,$18.20,CA
,,25-Aug-15,CS,2,$41.32,CA
,,17-Aug-15,5 #,1,$4.68,CA
ONIONS YELLOW JUMBO ROUND 50 LB Total,,,,31,$193.02,
PEARS BARTLETT  90,1880,20-Aug-15,CS,4,$110.20,WA
PEARS BARTLETT  90 Total,,,,4,$110.20,
PEPPER GREEN LARGE 1-1/9 BU,2820,20-Aug-15,5 #,18,$126.90,FL
,,20-Aug-15,CS,9,$172.80,FL
,,31-Aug-15,5 #,3,$21.24,NJ
,,27-Aug-15,5 #,5,$35.25,NJ
,,21-Aug-15,5 #,1,$7.05,FL
,,21-Aug-15,CS,-1,-$19.20,FL
,,25-Aug-15,5 #,5,$35.25,NJ
